,_id,accepted,id,score
0,582d29fa22674196c9e3bd20,,40445929,1.0
1,582d2a0422674196c9e3bd25,,40445927,2.0
2,582d2a0422674196c9e3bd26,,40445927,0.0
3,582d2a0422674196c9e3bd27,accepted,40445927,
4,582d2a0922674196c9e3bd2a,,40445926,2.0
5,582d2a0922674196c9e3bd2b,accepted,40445926,
6,582d2a1622674196c9e3bd31,,40445920,2.0
7,582d2a1622674196c9e3bd32,accepted,40445920,
8,582d2a2422674196c9e3bd37,,40445915,0.0
9,582d2a2922674196c9e3bd3a,,40445892,0.0
10,582d2a2922674196c9e3bd3b,accepted,40445892,
11,582d2a2f22674196c9e3bd3e,,40445891,1.0
12,582d2a2f22674196c9e3bd3f,accepted,40445891,
13,582d2a3522674196c9e3bd42,,40445888,0.0
14,582d2a3522674196c9e3bd43,accepted,40445888,
15,582d2a3a22674196c9e3bd46,,40445887,0.0
16,582d2a3e22674196c9e3bd49,,40445886,1.0
17,582d2a3e22674196c9e3bd4a,,40445886,1.0
18,582d2a3e22674196c9e3bd4b,accepted,40445886,
19,582d2a4222674196c9e3bd4e,,40445885,0.0
20,582d2a6922674196c9e3bd5a,,40445871,0.0
21,582d2a6922674196c9e3bd5b,,40445871,0.0
22,582d2a6922674196c9e3bd5c,accepted,40445871,
23,582d2a7022674196c9e3bd5f,,40445867,1.0
24,582d2a7c22674196c9e3bd64,,40445859,1.0
25,582d2a7c22674196c9e3bd65,accepted,40445859,
26,582d2a8922674196c9e3bd6c,,40445852,1.0
27,582d2a8922674196c9e3bd6d,accepted,40445852,
28,582d2a8d22674196c9e3bd70,,40445851,1.0
29,582d2a9222674196c9e3bd73,,40445848,0.0
30,582d2a9922674196c9e3bd78,,40445844,2.0
31,582d2a9922674196c9e3bd79,accepted,40445844,
32,582d2a9d22674196c9e3bd7c,,40445842,0.0
33,582d2a9d22674196c9e3bd7d,,40445842,0.0
34,582d2aa222674196c9e3bd80,,40445840,0.0
35,582d2aa222674196c9e3bd81,,40445840,0.0
36,582d2ab322674196c9e3bd8a,,40445829,0.0
37,582d2ad622674196c9e3bd91,,40445820,0.0
38,582d2ad622674196c9e3bd92,accepted,40445820,
39,582d2ae122674196c9e3bd95,,40445816,0.0
40,582d2af122674196c9e3bd99,,40445810,1.0
41,582d2af122674196c9e3bd9a,accepted,40445810,
42,582d2afa22674196c9e3bd9d,,40445809,1.0
43,582d2b0522674196c9e3bda0,,40445800,2.0
44,582d2b0522674196c9e3bda1,accepted,40445800,
45,582d2b1022674196c9e3bda4,,40445797,178.0
46,582d2b1022674196c9e3bda5,,40445797,16.0
47,582d2b1022674196c9e3bda6,,40445797,15.0
48,582d2b1022674196c9e3bda7,,40445797,7.0
49,582d2b1022674196c9e3bda8,,40445797,7.0
50,582d2b1022674196c9e3bda9,,40445797,2.0
51,582d2b1022674196c9e3bdaa,,40445797,1.0
52,582d2b1f22674196c9e3bdaf,,40445793,1.0
53,582d2b1f22674196c9e3bdb0,accepted,40445793,
54,582d2b2322674196c9e3bdb3,,40445789,1.0
55,582d2b2322674196c9e3bdb4,accepted,40445789,
56,582d2b2722674196c9e3bdb7,,40445787,0.0
57,582d2b2722674196c9e3bdb8,accepted,40445787,
58,582d2b2d22674196c9e3bdbb,,40445786,0.0
59,582d2b3a22674196c9e3bdc0,,40445782,1.0
60,582d2b4022674196c9e3bdc3,,40445779,0.0
61,582d2b5c22674196c9e3bdcb,,40445771,0.0
62,582d2b6322674196c9e3bdcf,,40445763,1.0
63,582d2b6e22674196c9e3bdd4,,40445760,0.0
64,582d2b7422674196c9e3bdd7,,40445758,1.0
65,582d2b7b22674196c9e3bdda,,40445755,0.0
66,582d2b7b22674196c9e3bddb,accepted,40445755,
67,582d2b8022674196c9e3bdde,,40445753,0.0
68,582d2b8b22674196c9e3bde3,,40445748,0.0
69,582d2b8b22674196c9e3bde4,,40445748,0.0
70,582d2b8b22674196c9e3bde5,accepted,40445748,
71,582d2b9522674196c9e3bde9,,40445744,1.0
72,582d2ba422674196c9e3bdf0,,40445735,3.0
73,582d2ba422674196c9e3bdf1,,40445735,1.0
74,582d2ba422674196c9e3bdf2,accepted,40445735,
75,582d2bae22674196c9e3bdf7,,40445722,0.0
76,582d2bb922674196c9e3bdfb,,40445718,1.0
77,582d2bb922674196c9e3bdfc,,40445718,0.0
78,582d2bc022674196c9e3bdff,,40445717,0.0
